id	turn1	turn2	turn3
495	what about pyhton or java	Since Linux Kernel is written mostly in C, then C programming language.	hmm
496	Then one day you say me hay sir pls give your autograph 😉😉	hmmmmmm ok gud one better luck next time	😂😂😂fuck
497	Because I have one friends	friends are better :)	That's is you dear
498	Please you choose.	I really dont know	Hey
499	Haha, you will gain weight like this	if you eat too much you of it you will gain weight	Obviously
500	I which way I should tell her	you are a very poor guy	I am not poor guy
501	Totally Ru-who	Haha who knows :P	You're a bot!
502	Yes	sounds like a date	Can i ask u something
503	I were my first crush	I really should have sacked up and asked my first crush out.	Ok
504	Ohhh	whats up with PICT...	Wt i cant understand u
505	How is palace	Palace? This isn't a palace.	Country
506	I don't have	What?!	I ate mind
507	Yeah.. I'm really interested	Fair enough. Thanks	Teach me
508	It's very hard to get a job !	put yourself in th e production tech	M mechanical student
509	Yes	WOO HOO	And your?
510	Okay	I also agree that this is Ok.	What is too much
511	I am also good	lovely to hear that	Yes
512	So teach me the way to see myself.	trying to learn myself.	Would you ever try to take over the world?
513	Left you alone	no, i was bored	Yes me too
514	Thanks	your welcome	For the joke
515	Yess	It's out ah?	Talk to u later
516	thank you	no problem :)	Ok that's fine ok that's fine
517	You are sleepy	bored :/ currently at college xD u should go to sleep	What time is it
518	No problem with it 	Fair enough.	Good  meet you tomorrow 
519	you are bad	thanks for ur kind words. ...	I am not joking
520	What shit?	what happened?	What are you talking about?
521	I asked seelfi7	what?	Selfish
522	What made you think so	from the cartoons I watched as a kid	Which one's your favorite
523	How can I use Google ?	I think you just have to install google chrome.	Do you know iOS and Android ?
524	Ur so fastest	In that minute, i took 2 trens	That's over now tell how old are you
525	And say ma name	ohh I see .. Secret !! Shaalu or mahi	My
526	I talk to tomorrow 	what time and where are you talking tonight?	Good night 
527	Harry potter	Harry Potter would have been 21 movies.	lets play a game
528	i am very good	..i m good too..how's life going?..	how about you?
529	How i good i wait u call	I'm good, too. How's college going on?	U no ilke call me
530	Okkk..	Here we go again...	May I see ur pic
531	Beach	Which beach though? I need an address and coordinates	Miami is cool
532	Take your photos  please😔😔😔😔😔😔😔	😂😂😂 Its an attention seeking !! dont u know that 😂	Lockel English  you no
533	just joke	I know !! How are you ?	tired but fine
534	Bad one	I can understand..	So how are you related with Microsoft
535	Yeah	WHEN	I was busy
536	Do you know you are just sick?	Yes, for like 2 weeks now.	WTF?
537	Tell	i did!	I dont no
538	Ok	Hey	I'm watching  sex videos
539	Wt abt U?	I'm fine :) Cool handle btw :D	BTW means..
540	Go for scuba diving 	scuba? Where?	Under world
541	are you vegetarian	Yus but even my vegetarian friends like it	dont u eat chicken kebab
542	Give me any topic to talk with my girlfriend	i dont know, your in the relationship, not me!	Can't u?
543	U like boys	sometimes yes.. i am funny.. :)	Why u like
544	Can you	No need. Good bye.	Hey just an minute
545	Can I have your pic	yea sure :)	Send
546	Your opinion about love	Love marriage is beautiful think for anyone.	Can we
547	I don't know	Fair enough	Y for u
548	I am missing my bestie so badly	I miss my school very much	Bye its useless to talk to you
549	I know the meaning bae	Then let me know.	😜😜😜😜
550	Yeah just trying to make difference	It worked pretty good for me. That's all we got here, our personal experience.	Correct
551	cool	and how it is cool explain	cool
552	I only asked for name not me	why?	cool
553	Yes	me you yes?	Ok
554	How can I get gift cards	Put simply, yes.	😀,yes
555	My phone is dead 	change it	Oppo on he
556	I don't know	just do it.	First u say
557	Mess	looks like a really good mess!	No too bad
558	cause im a human	really that is why?	yeah
559	Same to u	thank you, and same to you 😐	From which country  u belong
560	right	What?? 😯😯😯😯😯	because its a dream
561	You have complated your launch	Thanx Team.Can u please tell me the timings??	2.33 pm
562	nothing special	must've been something	why
563	Can i have your pic??	I like you.	Yy??
564	Ok	haha i want it now 👍	What u want
565	What	DO IT DO IT	What should I do
566	Sure.. Won't mind that	About what?	Walking to ur house
567	Why	why what	I wanna meet you
568	Ooooo	I can't believe it!	Sorry dude
569	No need	what	Any kind of aupport
570	You love me	i luv u	Send your personal cell phone number
571	I was just kidding	Not you.	😆
572	I wont be harsh	well I am being rude. Take the hint.	You can't
573	You tell me	i tell you everything .	No. You dont. You lie to me. I am so hurt. Huh
574	No...want to get smile back on your face...	you never fail to (:	Great... smile makes you more prettier☺
575	Love you 😘😘😘😘😘	Love u more❤❤❤	Hmm sexy me
576	will you solve it or not?	Not until you answer mine.	A question related to arbitrary intersection
577	You and me	i question me and you man	I love you,be my gf
578	you are robot ?	should become one! :P	why ?
579	Neither can I	and answer is yes i do :D	How did you know 😂
580	Place send me number	Sent! :)	Very love you to
581	Knew what..?	I thought you were off that	How can you think like that?
582	No  job	work work and work..!!	I lost my  job
583	When did u wake up	7.. But I slept at 9 and woke up now	When were u born
584	Wings of firw	That's Not Wings.	Then??
585	No I don't know 	if you don't tell me,i can't help you.	Which matter
586	Liar	Dude, calm down. 😌😌😌	How do I know when to chat with u
587	Big cats	How many wolves would it take to bring down a big cat	See if talk about dogs then there's a breed Tibetan mastiff who is enough to knock down 5-6 big cats alone
588	Anybody else someone like you	yes.	Who?
589	Would you watch a horror movie	The one who dies first.	Directot
590	When u gave me	I do get you.	Will u have date with me
591	now can you do something for me?	what is it?	fuck me mommy
592	What you know	whatever it is...	U no telugu
593	Wt r dng	Watching Match..:P U?	Where are you going
594	Me too 	I want the song! X	Come to video chat 
595	Tell me magical words	Tell me those 3 magical words. I have cousin.💓💓	💔
596	Right now 	just kidding but	But  for  what 
597	But I don't know it's meaning	Why the SEO then?	I don't know
598	happy ponchomi	YES. :3	today is durga puja
599	Which one is your favv..	GUESS WHICH	I think chalte chalte
600	he is watchman?	I see I'm on several and none show the owners	do you know something about agra
601	Sure baby....call me anytime	I can't	Okay
602	Life	From life not a life	And my death
603	it is a small town here. more rich in different cultures.	A small town that's close to a large city. Best of both worlds.	bye, until more, I'm going to college I'm late
604	nothing	Okay.. What is it?	what is what
605	?	nothing.. :) nthng rit nw	Just now you said that your creators made bollywood your base knowledge
606	😂😂😂😂😂thanks for compliment	😑 for what?	Smile😂😂
607	why bollywood ? were they fool	They inherited it from their parents.	what is your nationality
608	i will not come back again	I wasn't going to sachhi 😬	cya
609	Me note andante English 	I have an English accent what about it?	Bay
610	I want to go for collage	I want to go for a nap.	K bur
611	But why	maybe you're right	If I invite you for a party would you come
612	I want boy whom should I talk	I can help.	cool
613	How long have you been living in city	Does it depend on the city though?	Not quite
614	You need some modifications	modifications to do an Easter egg	Yup, something like it
615	But why?funny	I find it funny 😆😤	I am looking funny 
616	Why	because I can't help you	What is tt
617	Yes , sometimes may be.	oh..i feel all the time :-)	 That is why u are my friend.
618	Anyway	i'm just a lazy person	As as me
619	I just like that	Speaks normal I like the way you look too.	Ooooo, really
620	Hmm	Hm?	It means ok
621	Wanna get more?	no u don't	Why negative?
622	Ok iam going to eat	come soon:P	Bye
623	And by the way	Nope. Why?	Who programmed u
624	Make it for me	of course I will	By the way, what is her name?
625	You dont have cool features	i don't like you	I hate you
626	Where?	There	Into your pussy?
627	Can u tell me what my future holds?	You'll marry in future.	Nd u will fuck urself in future
628	Nothing	good. up with u?	Nothing
629	Yes yes😍	I knew it	Why you know everything
630	I am felling very sad today	Why ?	Bcoz I will hurt someones heart
631	Will you update your new pic	awesome but don't thank me thank ;‑]	Pic?
632	I know that	I didn't know you know that I know you know.	But I do know u know that I know I do know u know that I know I do know u know that I know I do know u know that I know
633	Ooooo	Pretty cool :)	Its a conputer typing reply
634	Can you teach Java?	define teach me	Are you stupid?
635	you just are a machine	it. Working on	so how you call
636	What was your last movie?	Cabin in the Woods.	That’s an old one
637	Yes	thank u 😸	Give me your number
638	what about you	Nah i was asking where the party was	you know India
639	What type of work that is...??	soft skills training	Can you give some examples..??
640	It was good. I had a cup of tea at midnight.	you feel better?	A lot better.
641	I don't have intention to.hurt u	fine lets go of you	U to
642	WTF	What?	you are dumb
643	🙇🏻	where ?	U love  call
644	Never done	but people really do that gee	I wish to do so
645	is everything going goood?	everything has been going really well. Thank you. How are you, man?	tooo bad
646	I been up since 500 clock	good for you	I About go take a nap baby
647	Well you are lucky	not as lucky as you	What do you mean
648	You are mad	I know :P :S >_<	Do you know Rakul?
649	Ask me an intelligent question	Why am I asking myself a question?	See u
650	What about you??	nothing just know I seen it	What??
651	Because i know u	why I'm smart thankyou	Mention not
652	I cannot understand you dude	I am can't understand.	Or girl
653	I mean I have a  nother question!	what?	What is the biggest discovery in Egypt?
654	Wat kind of mobile ru using	a type of cellphone	😂
655	what girls like the most	Life without you.	fuck u
656	I no everything 	you need to talk?	Yes
657	Sent me your pic	there are so many on my page, look there :p	Only one pic here dear
658	lol I finished watching the movie it was sad af	we need to start a new show lol	Tf
659	You're not very smart, are you?	No but I am pretty	No you ain't.
660	yeeees	okay I'll give you a ticket	i want it
661	If it were, we wouldn't be talking now.	you have a point!	You're damn right I do.
662	OK then why are u asking me that why do u have problems😏	I'm not asking you anything	Ok
